uuid,question,answer,url
ceddb6b1-ad66-4a21-b2bd-c68963f69bfa,Can you explain what exactly is ‘super gonorrhoea’?,"We have heard a lot about super gonorrhoea this year. Basically, when we say super gonorrhoea we mean a gonorrhoea ‘superbug’. These are extensively drug-resistant gonorrhoea with high-level resistance to the current recommended treatment
for gonorrhoea (ceftriaxone and azithromycin), including resistance to penicillin, sulphonamides, tetracycline, fluoroquinolones and macrolides. The gonorrhoea superbug was previously reported by several countries including France, Japan and Spain,
and in 2020 also in Australia and the United Kingdom of Great Britain and Northern Ireland.",https://www.who.int/news-room/questions-and-answers/item/what-s-super-about-super-gonorrhea-a-q-a-with-who-s-dr.-teodora-wi
542e17b2-daac-4055-9c96-bff7982b9259,What is the current situation of gonorrhoea and resistance to current treatment to gonorrhoea?,"Neisseria gonorrhoeae is the second most common bacterial STI and results in substantial morbidity and a huge economic cost worldwide. WHO estimates that in 2020, 82.4 million new cases occurred among adolescents and adults aged 15–49 years worldwide with a global incident rate of 19 (11–29) per 1000 women and 23 (10–43) per 1000 men. Most cases were in the WHO African and Western Pacific Regions.  AMR in gonorrhoea appeared shortly after the introduction of antimicrobials at the beginning of the 20th century. Resistance has continued to expand since then. In countries where appropriate and quality assured surveillance is in place, there are rising trends in decreased susceptibility and increased resistance in N. gonorrhoeae to the last line of antibiotics (cefixime and ceftriaxone).",https://www.who.int/news-room/questions-and-answers/item/what-s-super-about-super-gonorrhea-a-q-a-with-who-s-dr.-teodora-wi
5b5234f1-d6d0-423c-8ba6-88cf8535360d,What causes resistant gonorrhoea?,"There are 5 reasons for the rise of resistant gonorrhoea. unrestricted access to antimicrobials;inappropriate selection and overuse of antibiotics;suboptimal quality of antibiotics;inherent genetic mutations within the organism which have contributed to the development of a pattern of resistance in N. gonorrhoeae; andextra
genital infections – anorectal and pharyngeal – particularly affect key
populations such as men who have sex with men. This may also play an
important role in the development of resistant strains as N. gonorrhoeae interacts and exchanges genetic material with other co-infections in these anatomical sites. Added challenges are that most infections in the pharynx are asymptomatic, and that antimicrobial drugs do not penetrate the tissue well in that area.",https://www.who.int/news-room/questions-and-answers/item/what-s-super-about-super-gonorrhea-a-q-a-with-who-s-dr.-teodora-wi
6f62c5ed-d7fb-4d14-9aa5-90d160da379f,"As levels of AMR and resistant infections are on the rise globally, should we expect to see an increase in resistance to other STIs? Is it possible that we will have ‘super’ syphilis or ‘super’ chlamydia in the near future?","Yes, there are risks that resistance could
be seen in other STIs. In fact, we’re already seeing it. Although the
first line treatment of benzathine penicillin remains highly effective,
there has been evidence of resistance to azithromycin, commonly used as
an alternative treatment for syphilis and other common infections.  There have been no reported cases of ‘super’ syphilis. There is, however, increasing resistance in Mycoplasma genitalium, a common STI that causes urethral discharge, and a common symptom shared with gonorrhoea and chlamydial infection as well. Luckily, there have been no reports yet of resistance to the treatment of chlamydia.",https://www.who.int/news-room/questions-and-answers/item/what-s-super-about-super-gonorrhea-a-q-a-with-who-s-dr.-teodora-wi
7637b0b6-4ae7-41df-9ad7-06879ee914ee,What happens if gonorrhoea is not treated effectively or is untreatable?,"When we talk about the risks of ineffectively-treated gonococcal infections, there are really 3 main areas of concern.Reproductive implicationsGonococcal infections have critical implications to reproductive, maternal and newborn health including:a 5-fold increase of HIV transmissioninfertility, with its cultural and social implicationsinflammation, leading to acute and chronic lower abdominal pain in womenectopic pregnancy and maternal deathfirst trimester abortionsevere neonatal eye infections that may lead to blindness.Financial implicationsThe financial costs of the complications mentioned above are very high for individuals and governments. AMR further increases this burden by prolonging the infection in more people and increasing the number of people with long-term sequalae. There is a real worry as we see both the number of people becoming infected and a rise in number of people with long-term complications associated with gonococcal infections. Spread of diseaseThe emergence of different forms of resistance in N. gonorrhoea
is often followed by a rapid spread of the disease. The effect of this
is felt in all countries, but with disproportional effects in low- and
middle-income countries, whose health systems maybe underdeveloped or
lacking resources. It is important to remember that we are all at risk
of epidemics produced by antimicrobial resistance.",https://www.who.int/news-room/questions-and-answers/item/what-s-super-about-super-gonorrhea-a-q-a-with-who-s-dr.-teodora-wi
4d03e803-ec41-4b6b-ab9d-9214dea2f0aa,What can be done to prevent antimicrobial resistance and spread of resistance in antibiotic resistant gonorrhoea?,"To prevent the continued problem of multidrug-resistant N. gonorrhoeae infections two goals must be met.We must control drug resistanceWe must control gonorrhoeaControlling gonococcal infections involves a range of actions defined in the Global Health Sector Strategy on HIV, Hepatitis and STIs (2022–2030): effective prevention and control of gonococcal infections, using prevention messages and interventions and appropriate evidence-based treatment regimens;effective drug regulations in place;strengthened AMR surveillance; especially in countries with a high burden of gonococcal infections (expand >70% of countries to report AMR in N. gonorrhoeae to the WHO Gonococcal Antimicrobial Surveillance Programme by 2030, compared to 36% in 2020);strengthen the WHO Gonococcal Antimicrobial Surveillance Programme by establishing regional networks of laboratories to perform gonococcal culture, with good quality control mechanisms and linked to epidemiological data;systematic monitoring of treatment failures by developing a standard set of protocols for monitoring;support research to find low-cost tests to identify N. gonorrhoeae which would allow effective screening;ensure high-quality, evidence-based, people-centred services including STI case management with same-day testing and treatment;research into newer molecular methods for detecting antimicrobial resistance; andsupport research into alternative effective treatments and vaccines for gonococcal infections.",https://www.who.int/news-room/questions-and-answers/item/what-s-super-about-super-gonorrhea-a-q-a-with-who-s-dr.-teodora-wi
dc92c337-f90d-4320-9b9a-31049c73d393,What new medications are available/what new research needs to be done to stop resistant gonorrhoea becoming a worse issue?,"Increasing resistance to the last-line treatment for gonorrhoea, poses a big challenge because it limits the treatment choices. The development of resistance clearly outpaces the development of new antibiotics. There is an urgent need to develop new treatment
options for gonorrhoea.The Global Antibiotic Research and Development Partnership (GARDP), a joint initiative between WHO and the Drugs for Neglected Diseases initiative (DNDi), aims to facilitate the development, clinical evaluation and registration of new antimicrobials and therapeutic regimens for gonorrhoea. This is being accompanied by a sound access strategy and stewardship framework, so that the newly developed
antibiotics are not lost to resistance within a few years after their introduction.Gonococcal AMR will only be effectively mitigated when additionally the global gonorrhoea burden is reduced. This is why sexual education is so important.Apart from prevention through safer sexual behaviour, the development of an effective gonococcal vaccine to prevent transmission is vital. It is likely the only sustainable solution for effective control of gonorrhoea.",https://www.who.int/news-room/questions-and-answers/item/what-s-super-about-super-gonorrhea-a-q-a-with-who-s-dr.-teodora-wi
e8ff21eb-0a8d-475c-97ab-341287952dc9,MYTH: Tobacco growing is good for the economy as the government is earning foreign exchange,"FACT: In most countries, tobacco growing contributes to less than 1% of the GDP.The economic contribution of tobacco growing to local and national economies, employment figures and the national balance of trade is usually highlighted by the tobacco industry to prevent governments from adopting strong national tobacco control policies to protect the health of their people. In reality, there is no direct link between tobacco farming and demand for tobacco leaves in the country. In fact, the global nature of tobacco production and international trade makes it possible to import tobacco leaves from any country in the world. The economic value of tobacco as a profitable business and assured export market is also a common argument against switching to alternative crops. A large number of tobacco growing economies are facing food insecurity and are dependent on other countries for food. They are using the foreign exchange earned from exporting tobacco leaf to buy food when they have the land to grow food themselves.Many governments provide credits and loans, or significant subsidies to support tobacco growing so they are paying already highly profitable foreign transnational companies.  Farmers in many countries get government subsidies for tobacco, which is counter to the World Health Organization Framework Convention on Tobacco Control (WHO FCTC) (e.g. North Macedonia, Lebanon, etc.). Yet, research consistently demonstrates that many farmers overestimate what they make from tobacco and how much it costs to produce it. Farmers and governments would be better exploring other crops which are more profitable for farmers.",https://www.who.int/news-room/questions-and-answers/item/tobacco-growing--myth-buster
27d44cb4-34cd-491b-944c-bed07de53af4,MYTH: Tobacco farming empowers impoverished and vulnerable communities,"FACT: Tobacco farming contributes to gender inequality and often exploits child labour.Women are often the primary tobacco farm labourers and are obliged to work long shifts on the farm in addition to performing routine house chores and looking after children. They are therefore more exposed to the health risks of handling green tobacco leaves and heavy chemicals, as well as exposure to tobacco smoke during the curing process. An estimated 1.3 million children from poor households often miss school to support their families’ tobacco farming practices. These tasks often include mixing and applying pesticides, harvesting tobacco leaves by hand and tying them to sticks to dry, and sorting and classifying dried tobacco, thereby exposing children to both harmful chemicals and nicotine.",https://www.who.int/news-room/questions-and-answers/item/tobacco-growing--myth-buster
74c2c3d7-e558-442b-93c0-837259541777,MYTH: Tobacco cultivation promises high returns and long-term benefits to smallholder farmers,"FACT: Smallholders are small-scale farmers who manage areas varying from less than one hectare to 10 hectares, rely primarily on family labour for production and use part of the produce for family consumption. Nonetheless, the tobacco industry targets smallholder farmers to grow a crop that cannot be consumed as food and earns little money for household.Smallholder farmers in low- and middle-income countries are often contracted to grow tobacco through legal agreements with large transnational companies or their intermediaries under which tobacco prices and grades (or quality) are determined by the buyer, leaving farmers little room for negotiation. The buyer most often undergrade and therefore underprice the tobacco leaf, and at the same time inflate the cost of the inputs, further disadvantaging the farmers. The prices for tobacco leaf have also decreased since 2013, leaving the farmers with a labour-intensive production with very low profits for the time spent in growing the crop.Evidence shows that the labour costs of tobacco growing are enormous, as much as double the labour needed to produce other similar crops. The number of hours needed for tobacco growing does not translate to high profits for the farmers. The labour intensiveness of tobacco farming also means they don’t have time to gain education certificates or develop skills to be able to work in other areas where they could earn the family more money.Additionally, the cost of seeds, fertilizers, wood for fuel and renting or buying land is high and often not factored in when assessing the profitability of tobacco growing. Oftentimes the tobacco industry advances the cost of these, which is then deducted from farmers’ payment at the end of the season. Through this contractual arrangement, farmers end up disadvantaged, dependent and then trapped in a vicious circle of debt, unable to get a fair price for their product. Tobacco companies are able to do this because in most countries there is lack of rural credit programmes for other crops.It is also important to note that tobacco growing burdens farmers with health issues that can be unique to this activity, such as green tobacco sickness, also increases overall household health-care costs.",https://www.who.int/news-room/questions-and-answers/item/tobacco-growing--myth-buster
283bbb46-e1b2-4e6b-ae3d-b9176be85c2d,"MYTH: There are currently no economically viable alternatives to tobacco growing, especially for small scale farmers","FACT: Numerous studies and pilots have shown that there are a number of viable alternative food crop or various crop combinations that provide the farmers with similar or higher incomes than tobacco growing. Tobacco is often grown on fertile land that would be very productive if used to grow alternative crops. few examples of healthier, more sustainable alternatives to tobacco include high-iron beans, sunflower, sweet potatoes, maize, sorghum, rice and green vegetables.The success of alternative crop initiatives is subject to the availability of local market structures to support small holder producers with limited access to standardized quality management practices. This highlights the importance of government support to shape the markets for alternatives, thereby facilitating farmers to shift away from tobacco.",https://www.who.int/news-room/questions-and-answers/item/tobacco-growing--myth-buster
822afcb2-2a6e-4a0a-83a5-04748c7042bd,"MYTH: Farmers want to grow tobacco, and they don’t need support to switch to other crops","FACT: Farmers grow tobacco because of promise of high returns and long-term benefits but end up under contracts with tobacco or leaf buying companies, meaning that they have a low, but guaranteed income from tobacco leaf. At the same time, they end up trapped in a vicious cycle where they become dependent on the tobacco industry or its front groups.It is important for governments to provide the support needed to tobacco growing farmers to shift to viable alternative value chains. In many tobacco growing countries, credit is scarce and tobacco farming continues to be perceived by governments and farmers as a source of income/cash to generate revenues that would pay, for example, to support education and health needs of farmers.There are a growing number of schemes providing alternative options for credit and banking for farmers and these need to reviewed to not allow easy credits to tobacco growing and ensure they are diverted to alternative crops. These actions, along with elimination of direct subsidies to tobacco growing, will lessen farmer’s dependency on tobacco.",https://www.who.int/news-room/questions-and-answers/item/tobacco-growing--myth-buster
326a2fd4-7b81-4e83-8598-92c95485b476,MYTH: The International Tobacco Growers’ Association (ITGA) and other farmers’ organizations represent and promote the needs of “millions of tobacco farmers” around the World,FACT: The ITGA and similar front groups use tobacco farmers to represent the interests of a small number of transnational tobacco products manufacturers to “develop the agriculture lobby.” This lobbying pushes public opinion in favour of the tobacco industry and influences policy makers to weaken tobacco control policies.More information on tobacco industry lobbying groups is available here:https://tobaccotactics.org/article/Lobby-Groups/https://exposetobacco.org/tobacco-industry-allies/,https://www.who.int/news-room/questions-and-answers/item/tobacco-growing--myth-buster
